2026-07-03 16:12:55 | sweep_bottleneck160 | epoch=  0.00 | samples=    100,096 | speed=     0 sps | loss=0.283813 | lr=2.80e-05
2026-07-03 16:14:08 | sweep_bottleneck160 | epoch=  0.00 | samples=    200,192 | speed= 1,370 sps | loss=0.146229 | lr=4.60e-05
2026-07-03 16:15:21 | sweep_bottleneck160 | epoch=  0.01 | samples=    300,288 | speed= 1,364 sps | loss=0.136816 | lr=6.40e-05
2026-07-03 16:16:35 | sweep_bottleneck160 | epoch=  0.01 | samples=    400,384 | speed= 1,362 sps | loss=0.133617 | lr=8.20e-05
2026-07-03 16:17:50 | sweep_bottleneck160 | epoch=  0.01 | samples=    500,480 | speed= 1,331 sps | loss=0.130712 | lr=1.01e-04
2026-07-03 16:19:03 | sweep_bottleneck160 | epoch=  0.01 | samples=    600,576 | speed= 1,360 sps | loss=0.126791 | lr=1.20e-04
2026-07-03 16:20:17 | sweep_bottleneck160 | epoch=  0.01 | samples=    700,672 | speed= 1,357 sps | loss=0.121546 | lr=1.39e-04
2026-07-03 16:21:31 | sweep_bottleneck160 | epoch=  0.02 | samples=    800,768 | speed= 1,356 sps | loss=0.116589 | lr=1.63e-04
2026-07-03 16:22:45 | sweep_bottleneck160 | epoch=  0.02 | samples=    900,864 | speed= 1,356 sps | loss=0.112256 | lr=1.85e-04
2026-07-03 16:23:59 | sweep_bottleneck160 | epoch=  0.02 | samples=  1,000,960 | speed= 1,351 sps | loss=0.108167 | lr=2.11e-04
2026-07-03 16:25:13 | sweep_bottleneck160 | epoch=  0.02 | samples=  1,101,056 | speed= 1,358 sps | loss=0.104146 | lr=2.40e-04
2026-07-03 16:26:29 | sweep_bottleneck160 | epoch=  0.02 | samples=  1,201,152 | speed= 1,311 sps | loss=0.100615 | lr=2.73e-04
2026-07-03 16:27:43 | sweep_bottleneck160 | epoch=  0.03 | samples=  1,301,248 | speed= 1,359 sps | loss=0.097640 | lr=2.93e-04
2026-07-03 16:28:56 | sweep_bottleneck160 | epoch=  0.03 | samples=  1,401,344 | speed= 1,358 sps | loss=0.094919 | lr=3.20e-04
2026-07-03 16:30:10 | sweep_bottleneck160 | epoch=  0.03 | samples=  1,501,440 | speed= 1,357 sps | loss=0.092738 | lr=3.54e-04
2026-07-03 16:31:24 | sweep_bottleneck160 | epoch=  0.03 | samples=  1,601,536 | speed= 1,359 sps | loss=0.090948 | lr=3.83e-04
2026-07-03 16:32:37 | sweep_bottleneck160 | epoch=  0.03 | samples=  1,701,632 | speed= 1,360 sps | loss=0.089095 | lr=3.99e-04
2026-07-03 16:33:51 | sweep_bottleneck160 | epoch=  0.04 | samples=  1,801,728 | speed= 1,354 sps | loss=0.087585 | lr=4.32e-04
2026-07-03 16:35:05 | sweep_bottleneck160 | epoch=  0.04 | samples=  1,901,824 | speed= 1,361 sps | loss=0.086071 | lr=4.54e-04
2026-07-03 16:36:19 | sweep_bottleneck160 | epoch=  0.04 | samples=  2,001,920 | speed= 1,353 sps | loss=0.084939 | lr=4.96e-04
2026-07-03 16:37:32 | sweep_bottleneck160 | epoch=  0.04 | samples=  2,102,016 | speed= 1,359 sps | loss=0.083885 | lr=5.22e-04
2026-07-03 16:38:48 | sweep_bottleneck160 | epoch=  0.04 | samples=  2,202,112 | speed= 1,320 sps | loss=0.082718 | lr=5.59e-04
2026-07-03 16:40:02 | sweep_bottleneck160 | epoch=  0.05 | samples=  2,302,208 | speed= 1,363 sps | loss=0.081475 | lr=6.00e-04
2026-07-03 16:41:15 | sweep_bottleneck160 | epoch=  0.05 | samples=  2,402,304 | speed= 1,359 sps | loss=0.080373 | lr=6.49e-04
2026-07-03 16:42:29 | sweep_bottleneck160 | epoch=  0.05 | samples=  2,502,400 | speed= 1,362 sps | loss=0.079273 | lr=6.69e-04
2026-07-03 16:43:43 | sweep_bottleneck160 | epoch=  0.05 | samples=  2,602,496 | speed= 1,357 sps | loss=0.078031 | lr=7.17e-04
2026-07-03 16:44:56 | sweep_bottleneck160 | epoch=  0.05 | samples=  2,702,592 | speed= 1,356 sps | loss=0.077023 | lr=7.54e-04
2026-07-03 16:46:10 | sweep_bottleneck160 | epoch=  0.06 | samples=  2,802,688 | speed= 1,358 sps | loss=0.075919 | lr=7.69e-04
2026-07-03 16:47:24 | sweep_bottleneck160 | epoch=  0.06 | samples=  2,902,784 | speed= 1,355 sps | loss=0.074850 | lr=8.00e-04
2026-07-03 16:48:38 | sweep_bottleneck160 | epoch=  0.06 | samples=  3,002,880 | speed= 1,355 sps | loss=0.073779 | lr=8.24e-04
2026-07-03 16:49:52 | sweep_bottleneck160 | epoch=  0.06 | samples=  3,102,976 | speed= 1,351 sps | loss=0.072796 | lr=8.49e-04
2026-07-03 16:51:08 | sweep_bottleneck160 | epoch=  0.06 | samples=  3,203,072 | speed= 1,320 sps | loss=0.072041 | lr=8.93e-04
2026-07-03 16:52:21 | sweep_bottleneck160 | epoch=  0.07 | samples=  3,303,168 | speed= 1,363 sps | loss=0.071293 | lr=9.29e-04
2026-07-03 16:53:35 | sweep_bottleneck160 | epoch=  0.07 | samples=  3,403,264 | speed= 1,357 sps | loss=0.070622 | lr=9.57e-04
2026-07-03 16:54:49 | sweep_bottleneck160 | epoch=  0.07 | samples=  3,503,360 | speed= 1,353 sps | loss=0.069265 | lr=7.70e-04
2026-07-03 16:56:03 | sweep_bottleneck160 | epoch=  0.07 | samples=  3,603,456 | speed= 1,358 sps | loss=0.066877 | lr=7.85e-04
2026-07-03 16:57:16 | sweep_bottleneck160 | epoch=  0.07 | samples=  3,703,552 | speed= 1,358 sps | loss=0.065933 | lr=8.09e-04
2026-07-03 16:58:30 | sweep_bottleneck160 | epoch=  0.08 | samples=  3,803,648 | speed= 1,358 sps | loss=0.065420 | lr=8.50e-04
2026-07-03 16:59:46 | sweep_bottleneck160 | epoch=  0.08 | samples=  3,903,744 | speed= 1,312 sps | loss=0.064935 | lr=8.76e-04
