2026-06-29 21:04:57 | n4_b1p75 | samples=    100,096 | speed=     0 sps | loss=0.200636 | val=0.164667 | lr=2.80e-04
2026-06-29 21:05:28 | n4_b1p75 | samples=    200,192 | speed= 3,251 sps | loss=0.160600 | val=0.157800 | lr=4.60e-04
2026-06-29 21:06:04 | n4_b1p75 | samples=    300,288 | speed= 2,800 sps | loss=0.155283 | val=0.153142 | lr=6.41e-04
2026-06-29 21:06:40 | n4_b1p75 | samples=    400,384 | speed= 2,808 sps | loss=0.149593 | val=0.145669 | lr=8.21e-04
2026-06-29 21:07:11 | n4_b1p75 | samples=    500,480 | speed= 3,224 sps | loss=0.139535 | val=0.134605 | lr=1.00e-03 | D=-- | D'=--
2026-06-29 21:07:42 | n4_b1p75 | samples=    600,576 | speed= 3,208 sps | loss=0.130822 | val=0.128690 | lr=1.58e-03 | D=-- | D'=--
2026-06-29 21:08:21 | n4_b1p75 | samples=    700,672 | speed= 2,548 sps | loss=0.126283 | val=0.127694 | lr=3.11e-03 | D=-- | D'=--
2026-06-29 21:08:52 | n4_b1p75 | samples=    800,768 | speed= 3,202 sps | loss=0.123573 | val=0.126400 | lr=5.80e-03 | D=-- | D'=--
2026-06-29 21:09:24 | n4_b1p75 | samples=    900,864 | speed= 3,221 sps | loss=0.119791 | val=0.123269 | lr=1.03e-02 | D=-- | D'=--
2026-06-29 21:09:51 | n4_b1p75 | samples=  1,000,960 | speed= 3,593 sps | loss=0.118896 | val=0.124201 | lr=1.61e-02 | D=-- | D'=--
2026-06-29 21:10:19 | n4_b1p75 | samples=  1,101,056 | speed= 3,580 sps | loss=0.118171 | val=0.125762 | lr=2.43e-02 | D=-- | D'=--
2026-06-29 21:10:53 | n4_b1p75 | samples=  1,201,152 | speed= 2,952 sps | loss=0.122734 | val=0.109645 | lr=2.80e-02 | D=-- | D'=--
2026-06-29 21:11:24 | n4_b1p75 | samples=  1,301,248 | speed= 3,226 sps | loss=0.097980 | val=0.090539 | lr=5.53e-03 | D=-- | D'=--
2026-06-29 21:11:55 | n4_b1p75 | samples=  1,401,344 | speed= 3,221 sps | loss=0.090248 | val=0.086950 | lr=1.28e-03 | D=-- | D'=--
2026-06-29 21:12:26 | n4_b1p75 | samples=  1,501,440 | speed= 3,215 sps | loss=0.088456 | val=0.085999 | lr=4.65e-04 | D=-- | D'=--
2026-06-29 21:12:58 | n4_b1p75 | samples=  1,601,536 | speed= 3,164 sps | loss=0.087907 | val=0.085633 | lr=2.32e-04 | D=-- | D'=--
2026-06-29 21:13:30 | n4_b1p75 | samples=  1,701,632 | speed= 3,176 sps | loss=0.087614 | val=0.085452 | lr=1.93e-04 | D=-- | D'=--
2026-06-29 21:14:01 | n4_b1p75 | samples=  1,801,728 | speed= 3,170 sps | loss=0.087475 | val=0.085278 | lr=1.80e-04 | D=-- | D'=--
2026-06-29 21:14:33 | n4_b1p75 | samples=  1,901,824 | speed= 3,161 sps | loss=0.087354 | val=0.085174 | lr=3.20e-04 | D=-- | D'=--
2026-06-29 21:15:05 | n4_b1p75 | samples=  2,001,920 | speed= 3,158 sps | loss=0.087224 | val=0.085028 | lr=3.97e-04 | D=-- | D'=--
