2026-07-03 22:47:24 | sweep_n2 | epoch=  0.00 | samples=    100,096 | speed=     0 sps | loss=0.188589 | lr=2.80e-05
2026-07-03 22:48:35 | sweep_n2 | epoch=  0.00 | samples=    200,192 | speed= 1,416 sps | loss=0.140712 | lr=4.60e-05
2026-07-03 22:49:45 | sweep_n2 | epoch=  0.01 | samples=    300,288 | speed= 1,427 sps | loss=0.134353 | lr=6.40e-05
2026-07-03 22:50:50 | sweep_n2 | epoch=  0.01 | samples=    400,384 | speed= 1,547 sps | loss=0.169815 | lr=8.21e-05
2026-07-03 22:51:55 | sweep_n2 | epoch=  0.01 | samples=    500,480 | speed= 1,542 sps | loss=0.191697 | lr=1.02e-04
2026-07-03 22:53:00 | sweep_n2 | epoch=  0.01 | samples=    600,576 | speed= 1,538 sps | loss=0.159294 | lr=1.52e-04
2026-07-03 22:54:13 | sweep_n2 | epoch=  0.01 | samples=    700,672 | speed= 1,368 sps | loss=0.145320 | lr=1.95e-04
2026-07-03 22:55:24 | sweep_n2 | epoch=  0.02 | samples=    800,768 | speed= 1,415 sps | loss=0.137135 | lr=2.15e-04
2026-07-03 22:56:34 | sweep_n2 | epoch=  0.02 | samples=    900,864 | speed= 1,417 sps | loss=0.131201 | lr=2.42e-04
2026-07-03 22:57:45 | sweep_n2 | epoch=  0.02 | samples=  1,000,960 | speed= 1,417 sps | loss=0.121647 | lr=2.76e-04
2026-07-03 22:58:56 | sweep_n2 | epoch=  0.02 | samples=  1,101,056 | speed= 1,415 sps | loss=0.117708 | lr=3.02e-04
2026-07-03 23:00:01 | sweep_n2 | epoch=  0.02 | samples=  1,201,152 | speed= 1,539 sps | loss=0.149803 | lr=3.24e-04
2026-07-03 23:01:06 | sweep_n2 | epoch=  0.03 | samples=  1,301,248 | speed= 1,535 sps | loss=0.140363 | lr=2.43e-04
2026-07-03 23:02:11 | sweep_n2 | epoch=  0.03 | samples=  1,401,344 | speed= 1,531 sps | loss=0.146070 | lr=1.82e-04
2026-07-03 23:03:17 | sweep_n2 | epoch=  0.03 | samples=  1,501,440 | speed= 1,527 sps | loss=0.121529 | lr=1.82e-04
2026-07-03 23:04:58 | sweep_n2 | epoch=  0.03 | samples=  1,601,536 | speed=   986 sps | loss=0.113911 | lr=1.38e-04
2026-07-03 23:06:08 | sweep_n2 | epoch=  0.03 | samples=  1,701,632 | speed= 1,428 sps | loss=0.110087 | lr=1.52e-04
2026-07-03 23:07:19 | sweep_n2 | epoch=  0.04 | samples=  1,801,728 | speed= 1,422 sps | loss=0.112189 | lr=1.54e-04
2026-07-03 23:08:29 | sweep_n2 | epoch=  0.04 | samples=  1,901,824 | speed= 1,421 sps | loss=0.107399 | lr=1.67e-04
2026-07-03 23:09:34 | sweep_n2 | epoch=  0.04 | samples=  2,001,920 | speed= 1,542 sps | loss=0.107833 | lr=1.73e-04
2026-07-03 23:10:45 | sweep_n2 | epoch=  0.04 | samples=  2,102,016 | speed= 1,416 sps | loss=0.108591 | lr=1.30e-04
2026-07-03 23:11:58 | sweep_n2 | epoch=  0.04 | samples=  2,202,112 | speed= 1,374 sps | loss=0.103864 | lr=1.38e-04
2026-07-03 23:13:08 | sweep_n2 | epoch=  0.05 | samples=  2,302,208 | speed= 1,418 sps | loss=0.102046 | lr=1.46e-04
2026-07-03 23:14:13 | sweep_n2 | epoch=  0.05 | samples=  2,402,304 | speed= 1,539 sps | loss=0.116980 | lr=1.49e-04
2026-07-03 23:15:19 | sweep_n2 | epoch=  0.05 | samples=  2,502,400 | speed= 1,536 sps | loss=0.107767 | lr=1.12e-04
2026-07-03 23:16:29 | sweep_n2 | epoch=  0.05 | samples=  2,602,496 | speed= 1,416 sps | loss=0.101111 | lr=8.57e-05
2026-07-03 23:17:40 | sweep_n2 | epoch=  0.05 | samples=  2,702,592 | speed= 1,414 sps | loss=0.099202 | lr=8.92e-05
2026-07-03 23:18:45 | sweep_n2 | epoch=  0.06 | samples=  2,802,688 | speed= 1,538 sps | loss=0.098424 | lr=9.19e-05
2026-07-03 23:19:56 | sweep_n2 | epoch=  0.06 | samples=  2,902,784 | speed= 1,412 sps | loss=0.097612 | lr=9.38e-05
2026-07-03 23:21:01 | sweep_n2 | epoch=  0.06 | samples=  3,002,880 | speed= 1,537 sps | loss=0.096999 | lr=9.85e-05
2026-07-03 23:22:06 | sweep_n2 | epoch=  0.06 | samples=  3,102,976 | speed= 1,534 sps | loss=0.097357 | lr=9.85e-05
2026-07-03 23:23:12 | sweep_n2 | epoch=  0.06 | samples=  3,203,072 | speed= 1,534 sps | loss=0.097497 | lr=7.46e-05
2026-07-03 23:24:24 | sweep_n2 | epoch=  0.07 | samples=  3,303,168 | speed= 1,390 sps | loss=0.097596 | lr=5.60e-05
2026-07-03 23:25:29 | sweep_n2 | epoch=  0.07 | samples=  3,403,264 | speed= 1,536 sps | loss=0.095705 | lr=5.77e-05
2026-07-03 23:26:35 | sweep_n2 | epoch=  0.07 | samples=  3,503,360 | speed= 1,522 sps | loss=0.094996 | lr=5.94e-05
2026-07-03 23:27:40 | sweep_n2 | epoch=  0.07 | samples=  3,603,456 | speed= 1,521 sps | loss=0.094499 | lr=6.18e-05
2026-07-03 23:28:52 | sweep_n2 | epoch=  0.07 | samples=  3,703,552 | speed= 1,398 sps | loss=0.094097 | lr=6.50e-05
2026-07-03 23:29:57 | sweep_n2 | epoch=  0.08 | samples=  3,803,648 | speed= 1,535 sps | loss=0.093896 | lr=6.63e-05
2026-07-03 23:31:03 | sweep_n2 | epoch=  0.08 | samples=  3,903,744 | speed= 1,523 sps | loss=0.094013 | lr=6.70e-05
2026-07-03 23:32:14 | sweep_n2 | epoch=  0.08 | samples=  4,003,840 | speed= 1,397 sps | loss=0.093251 | lr=5.17e-05
2026-07-03 23:33:20 | sweep_n2 | epoch=  0.08 | samples=  4,103,936 | speed= 1,536 sps | loss=0.092916 | lr=5.23e-05
2026-07-03 23:34:25 | sweep_n2 | epoch=  0.08 | samples=  4,204,032 | speed= 1,521 sps | loss=0.092799 | lr=5.28e-05
2026-07-03 23:35:32 | sweep_n2 | epoch=  0.09 | samples=  4,304,128 | speed= 1,514 sps | loss=0.092354 | lr=4.00e-05
2026-07-03 23:36:37 | sweep_n2 | epoch=  0.09 | samples=  4,404,224 | speed= 1,519 sps | loss=0.327289 | lr=4.04e-05
2026-07-03 23:37:44 | sweep_n2 | epoch=  0.09 | samples=  4,504,320 | speed= 1,510 sps | loss=0.092237 | lr=3.03e-05
2026-07-03 23:38:50 | sweep_n2 | epoch=  0.09 | samples=  4,604,416 | speed= 1,512 sps | loss=0.091968 | lr=2.27e-05
2026-07-03 23:39:56 | sweep_n2 | epoch=  0.09 | samples=  4,704,512 | speed= 1,517 sps | loss=0.091714 | lr=2.27e-05
2026-07-03 23:41:08 | sweep_n2 | epoch=  0.10 | samples=  4,804,608 | speed= 1,394 sps | loss=0.091201 | lr=1.70e-05
2026-07-03 23:42:13 | sweep_n2 | epoch=  0.10 | samples=  4,904,704 | speed= 1,535 sps | loss=0.090955 | lr=1.72e-05
2026-07-03 23:43:19 | sweep_n2 | epoch=  0.10 | samples=  5,004,800 | speed= 1,510 sps | loss=0.090867 | lr=1.29e-05
2026-07-03 23:44:25 | sweep_n2 | epoch=  0.10 | samples=  5,104,896 | speed= 1,513 sps | loss=0.090793 | lr=9.78e-06
2026-07-03 23:45:32 | sweep_n2 | epoch=  0.10 | samples=  5,204,992 | speed= 1,514 sps | loss=0.090688 | lr=9.78e-06
2026-07-03 23:46:38 | sweep_n2 | epoch=  0.11 | samples=  5,305,088 | speed= 1,513 sps | loss=0.090879 | lr=7.41e-06
2026-07-03 23:47:44 | sweep_n2 | epoch=  0.11 | samples=  5,405,184 | speed= 1,516 sps | loss=0.090569 | lr=7.41e-06
2026-07-03 23:48:50 | sweep_n2 | epoch=  0.11 | samples=  5,505,280 | speed= 1,507 sps | loss=0.090458 | lr=5.55e-06
2026-07-03 23:49:56 | sweep_n2 | epoch=  0.11 | samples=  5,605,376 | speed= 1,516 sps | loss=0.090393 | lr=4.25e-06
2026-07-03 23:51:02 | sweep_n2 | epoch=  0.11 | samples=  5,705,472 | speed= 1,518 sps | loss=0.090447 | lr=4.29e-06
2026-07-03 23:52:08 | sweep_n2 | epoch=  0.12 | samples=  5,805,568 | speed= 1,510 sps | loss=0.090288 | lr=4.29e-06
2026-07-03 23:53:15 | sweep_n2 | epoch=  0.12 | samples=  5,905,664 | speed= 1,514 sps | loss=0.090281 | lr=3.22e-06
2026-07-03 23:54:21 | sweep_n2 | epoch=  0.12 | samples=  6,005,760 | speed= 1,518 sps | loss=0.090252 | lr=3.28e-06
2026-07-03 23:55:27 | sweep_n2 | epoch=  0.12 | samples=  6,105,856 | speed= 1,510 sps | loss=0.090187 | lr=2.46e-06
2026-07-03 23:56:33 | sweep_n2 | epoch=  0.12 | samples=  6,205,952 | speed= 1,522 sps | loss=0.090145 | lr=1.85e-06
2026-07-03 23:57:39 | sweep_n2 | epoch=  0.13 | samples=  6,306,048 | speed= 1,514 sps | loss=0.090147 | lr=1.85e-06
2026-07-03 23:58:45 | sweep_n2 | epoch=  0.13 | samples=  6,406,144 | speed= 1,513 sps | loss=0.090174 | lr=1.39e-06
2026-07-03 23:59:57 | sweep_n2 | epoch=  0.13 | samples=  6,506,240 | speed= 1,395 sps | loss=0.090149 | lr=1.04e-06
2026-07-04 00:01:02 | sweep_n2 | epoch=  0.13 | samples=  6,606,336 | speed= 1,534 sps | loss=0.090449 | lr=1.02e-04
2026-07-04 00:02:08 | sweep_n2 | epoch=  0.13 | samples=  6,706,432 | speed= 1,511 sps | loss=0.091817 | lr=1.02e-04
2026-07-04 00:03:14 | sweep_n2 | epoch=  0.14 | samples=  6,806,528 | speed= 1,511 sps | loss=0.093140 | lr=7.65e-05
2026-07-04 00:04:20 | sweep_n2 | epoch=  0.14 | samples=  6,906,624 | speed= 1,518 sps | loss=0.091363 | lr=5.85e-05
2026-07-04 00:05:26 | sweep_n2 | epoch=  0.14 | samples=  7,006,720 | speed= 1,527 sps | loss=0.090815 | lr=5.97e-05
2026-07-04 00:06:32 | sweep_n2 | epoch=  0.14 | samples=  7,106,816 | speed= 1,514 sps | loss=0.090473 | lr=6.09e-05
2026-07-04 00:07:38 | sweep_n2 | epoch=  0.14 | samples=  7,206,912 | speed= 1,514 sps | loss=0.090177 | lr=6.15e-05
2026-07-04 00:08:44 | sweep_n2 | epoch=  0.15 | samples=  7,307,008 | speed= 1,513 sps | loss=0.089982 | lr=6.21e-05
2026-07-04 00:09:50 | sweep_n2 | epoch=  0.15 | samples=  7,407,104 | speed= 1,513 sps | loss=0.089673 | lr=6.40e-05
2026-07-04 00:10:57 | sweep_n2 | epoch=  0.15 | samples=  7,507,200 | speed= 1,513 sps | loss=0.089528 | lr=6.73e-05
2026-07-04 00:12:03 | sweep_n2 | epoch=  0.15 | samples=  7,607,296 | speed= 1,516 sps | loss=0.089291 | lr=6.80e-05
2026-07-04 00:13:09 | sweep_n2 | epoch=  0.15 | samples=  7,707,392 | speed= 1,513 sps | loss=0.089236 | lr=6.86e-05
2026-07-04 00:14:15 | sweep_n2 | epoch=  0.16 | samples=  7,807,488 | speed= 1,521 sps | loss=0.091275 | lr=5.15e-05
2026-07-04 00:15:21 | sweep_n2 | epoch=  0.16 | samples=  7,907,584 | speed= 1,513 sps | loss=0.089376 | lr=3.86e-05
2026-07-04 00:16:27 | sweep_n2 | epoch=  0.16 | samples=  8,007,680 | speed= 1,519 sps | loss=0.088458 | lr=3.90e-05
2026-07-04 00:17:33 | sweep_n2 | epoch=  0.16 | samples=  8,107,776 | speed= 1,514 sps | loss=0.088234 | lr=3.98e-05
2026-07-04 00:18:39 | sweep_n2 | epoch=  0.16 | samples=  8,207,872 | speed= 1,518 sps | loss=0.088078 | lr=3.01e-05
2026-07-04 00:19:44 | sweep_n2 | epoch=  0.17 | samples=  8,307,968 | speed= 1,522 sps | loss=0.087876 | lr=3.14e-05
2026-07-04 00:20:51 | sweep_n2 | epoch=  0.17 | samples=  8,408,064 | speed= 1,507 sps | loss=0.087625 | lr=3.20e-05
2026-07-04 00:21:57 | sweep_n2 | epoch=  0.17 | samples=  8,508,160 | speed= 1,516 sps | loss=0.087603 | lr=3.23e-05
2026-07-04 00:23:03 | sweep_n2 | epoch=  0.17 | samples=  8,608,256 | speed= 1,508 sps | loss=0.087796 | lr=2.45e-05
2026-07-04 00:24:09 | sweep_n2 | epoch=  0.17 | samples=  8,708,352 | speed= 1,512 sps | loss=0.087279 | lr=1.84e-05
2026-07-04 00:25:16 | sweep_n2 | epoch=  0.18 | samples=  8,808,448 | speed= 1,508 sps | loss=0.087084 | lr=1.85e-05
2026-07-04 00:26:22 | sweep_n2 | epoch=  0.18 | samples=  8,908,544 | speed= 1,508 sps | loss=0.086919 | lr=1.39e-05
2026-07-04 00:27:29 | sweep_n2 | epoch=  0.18 | samples=  9,008,640 | speed= 1,510 sps | loss=0.086870 | lr=1.05e-05
2026-07-04 00:28:35 | sweep_n2 | epoch=  0.18 | samples=  9,108,736 | speed= 1,512 sps | loss=0.086654 | lr=1.05e-05
2026-07-04 00:29:41 | sweep_n2 | epoch=  0.18 | samples=  9,208,832 | speed= 1,509 sps | loss=0.086620 | lr=7.98e-06
2026-07-04 00:30:48 | sweep_n2 | epoch=  0.19 | samples=  9,308,928 | speed= 1,506 sps | loss=0.086532 | lr=8.06e-06
2026-07-04 00:31:54 | sweep_n2 | epoch=  0.19 | samples=  9,409,024 | speed= 1,517 sps | loss=0.086532 | lr=8.14e-06
2026-07-04 00:33:00 | sweep_n2 | epoch=  0.19 | samples=  9,509,120 | speed= 1,507 sps | loss=0.086493 | lr=8.22e-06
2026-07-04 00:34:06 | sweep_n2 | epoch=  0.19 | samples=  9,609,216 | speed= 1,526 sps | loss=0.086483 | lr=8.22e-06
2026-07-04 00:35:12 | sweep_n2 | epoch=  0.19 | samples=  9,709,312 | speed= 1,510 sps | loss=0.086374 | lr=6.23e-06
2026-07-04 00:36:18 | sweep_n2 | epoch=  0.20 | samples=  9,809,408 | speed= 1,514 sps | loss=0.086261 | lr=6.23e-06
2026-07-04 00:37:24 | sweep_n2 | epoch=  0.20 | samples=  9,909,504 | speed= 1,513 sps | loss=0.086345 | lr=4.76e-06
2026-07-04 00:38:25 | sweep_n2 | epoch=  0.20 | samples= 10,000,128 | speed= 1,492 sps | loss=0.086247 | lr=4.81e-06
