2026-07-04 07:47:28 | sweep_n5 | epoch=  0.00 | samples=    100,096 | speed=     0 sps | loss=0.271920 | lr=2.80e-05
2026-07-04 07:48:38 | sweep_n5 | epoch=  0.00 | samples=    200,192 | speed= 1,423 sps | loss=0.213429 | lr=4.60e-05
2026-07-04 07:49:43 | sweep_n5 | epoch=  0.01 | samples=    300,288 | speed= 1,547 sps | loss=0.212038 | lr=6.40e-05
2026-07-04 07:50:54 | sweep_n5 | epoch=  0.01 | samples=    400,384 | speed= 1,416 sps | loss=0.207611 | lr=8.21e-05
2026-07-04 07:52:34 | sweep_n5 | epoch=  0.01 | samples=    500,480 | speed= 1,001 sps | loss=0.203676 | lr=1.02e-04
2026-07-04 07:53:44 | sweep_n5 | epoch=  0.01 | samples=    600,576 | speed= 1,425 sps | loss=0.198983 | lr=1.22e-04
2026-07-04 07:54:54 | sweep_n5 | epoch=  0.01 | samples=    700,672 | speed= 1,420 sps | loss=0.193544 | lr=1.43e-04
2026-07-04 07:56:05 | sweep_n5 | epoch=  0.02 | samples=    800,768 | speed= 1,413 sps | loss=0.191240 | lr=1.50e-04
2026-07-04 07:57:16 | sweep_n5 | epoch=  0.02 | samples=    900,864 | speed= 1,409 sps | loss=0.188631 | lr=1.75e-04
2026-07-04 07:58:29 | sweep_n5 | epoch=  0.02 | samples=  1,000,960 | speed= 1,373 sps | loss=0.185546 | lr=1.93e-04
2026-07-04 07:59:40 | sweep_n5 | epoch=  0.02 | samples=  1,101,056 | speed= 1,413 sps | loss=0.183258 | lr=2.05e-04
2026-07-04 08:00:51 | sweep_n5 | epoch=  0.02 | samples=  1,201,152 | speed= 1,413 sps | loss=0.182524 | lr=2.15e-04
2026-07-04 08:02:02 | sweep_n5 | epoch=  0.03 | samples=  1,301,248 | speed= 1,407 sps | loss=0.180122 | lr=2.35e-04
2026-07-04 08:03:07 | sweep_n5 | epoch=  0.03 | samples=  1,401,344 | speed= 1,532 sps | loss=0.180332 | lr=2.38e-04
2026-07-04 08:04:13 | sweep_n5 | epoch=  0.03 | samples=  1,501,440 | speed= 1,530 sps | loss=0.184910 | lr=1.78e-04
2026-07-04 08:05:24 | sweep_n5 | epoch=  0.03 | samples=  1,601,536 | speed= 1,405 sps | loss=0.180047 | lr=1.35e-04
2026-07-04 08:06:29 | sweep_n5 | epoch=  0.03 | samples=  1,701,632 | speed= 1,528 sps | loss=0.178027 | lr=1.41e-04
2026-07-04 08:08:11 | sweep_n5 | epoch=  0.04 | samples=  1,801,728 | speed=   988 sps | loss=0.176549 | lr=1.52e-04
2026-07-04 08:09:16 | sweep_n5 | epoch=  0.04 | samples=  1,901,824 | speed= 1,545 sps | loss=0.176169 | lr=1.54e-04
2026-07-04 08:10:21 | sweep_n5 | epoch=  0.04 | samples=  2,001,920 | speed= 1,534 sps | loss=0.181208 | lr=1.15e-04
2026-07-04 08:11:32 | sweep_n5 | epoch=  0.04 | samples=  2,102,016 | speed= 1,408 sps | loss=0.175043 | lr=1.21e-04
2026-07-04 08:12:37 | sweep_n5 | epoch=  0.04 | samples=  2,202,112 | speed= 1,530 sps | loss=0.174365 | lr=1.24e-04
2026-07-04 08:13:49 | sweep_n5 | epoch=  0.05 | samples=  2,302,208 | speed= 1,405 sps | loss=0.173766 | lr=9.55e-05
