2026-07-04 23:57:55 | sweep_noise_prob0.1 | epoch=  0.00 | samples=    100,096 | speed=     0 sps | loss=0.247708 | lr=2.80e-05
2026-07-04 23:59:05 | sweep_noise_prob0.1 | epoch=  0.00 | samples=    200,192 | speed= 1,426 sps | loss=0.141825 | lr=4.60e-05
2026-07-05 00:00:15 | sweep_noise_prob0.1 | epoch=  0.01 | samples=    300,288 | speed= 1,430 sps | loss=0.133967 | lr=6.40e-05
2026-07-05 00:01:25 | sweep_noise_prob0.1 | epoch=  0.01 | samples=    400,384 | speed= 1,429 sps | loss=0.129659 | lr=8.21e-05
2026-07-05 00:02:38 | sweep_noise_prob0.1 | epoch=  0.01 | samples=    500,480 | speed= 1,378 sps | loss=0.124930 | lr=1.01e-04
2026-07-05 00:03:48 | sweep_noise_prob0.1 | epoch=  0.01 | samples=    600,576 | speed= 1,429 sps | loss=0.119448 | lr=1.22e-04
2026-07-05 00:04:58 | sweep_noise_prob0.1 | epoch=  0.01 | samples=    700,672 | speed= 1,427 sps | loss=0.114251 | lr=1.42e-04
2026-07-05 00:06:08 | sweep_noise_prob0.1 | epoch=  0.02 | samples=    800,768 | speed= 1,428 sps | loss=0.109778 | lr=1.63e-04
2026-07-05 00:07:18 | sweep_noise_prob0.1 | epoch=  0.02 | samples=    900,864 | speed= 1,427 sps | loss=0.105689 | lr=1.85e-04
2026-07-05 00:08:28 | sweep_noise_prob0.1 | epoch=  0.02 | samples=  1,000,960 | speed= 1,428 sps | loss=0.101860 | lr=2.09e-04
2026-07-05 00:09:39 | sweep_noise_prob0.1 | epoch=  0.02 | samples=  1,101,056 | speed= 1,427 sps | loss=0.098364 | lr=2.35e-04
2026-07-05 00:10:49 | sweep_noise_prob0.1 | epoch=  0.02 | samples=  1,201,152 | speed= 1,427 sps | loss=0.095683 | lr=2.68e-04
2026-07-05 00:11:59 | sweep_noise_prob0.1 | epoch=  0.03 | samples=  1,301,248 | speed= 1,426 sps | loss=0.093385 | lr=2.93e-04
2026-07-05 00:13:09 | sweep_noise_prob0.1 | epoch=  0.03 | samples=  1,401,344 | speed= 1,427 sps | loss=0.091396 | lr=3.14e-04
2026-07-05 00:14:19 | sweep_noise_prob0.1 | epoch=  0.03 | samples=  1,501,440 | speed= 1,426 sps | loss=0.089561 | lr=3.50e-04
2026-07-05 00:15:30 | sweep_noise_prob0.1 | epoch=  0.03 | samples=  1,601,536 | speed= 1,426 sps | loss=0.088372 | lr=3.76e-04
2026-07-05 00:16:40 | sweep_noise_prob0.1 | epoch=  0.03 | samples=  1,701,632 | speed= 1,426 sps | loss=0.087102 | lr=4.03e-04
2026-07-05 00:17:50 | sweep_noise_prob0.1 | epoch=  0.04 | samples=  1,801,728 | speed= 1,424 sps | loss=0.085732 | lr=4.23e-04
2026-07-05 00:19:00 | sweep_noise_prob0.1 | epoch=  0.04 | samples=  1,901,824 | speed= 1,427 sps | loss=0.084413 | lr=4.54e-04
2026-07-05 00:20:10 | sweep_noise_prob0.1 | epoch=  0.04 | samples=  2,001,920 | speed= 1,425 sps | loss=0.083275 | lr=4.72e-04
2026-07-05 00:21:21 | sweep_noise_prob0.1 | epoch=  0.04 | samples=  2,102,016 | speed= 1,425 sps | loss=0.081880 | lr=5.01e-04
2026-07-05 00:22:33 | sweep_noise_prob0.1 | epoch=  0.04 | samples=  2,202,112 | speed= 1,380 sps | loss=0.080722 | lr=5.43e-04
2026-07-05 00:23:43 | sweep_noise_prob0.1 | epoch=  0.05 | samples=  2,302,208 | speed= 1,431 sps | loss=0.079434 | lr=5.70e-04
2026-07-05 00:25:25 | sweep_noise_prob0.1 | epoch=  0.05 | samples=  2,402,304 | speed=   985 sps | loss=0.078034 | lr=6.06e-04
2026-07-05 00:26:34 | sweep_noise_prob0.1 | epoch=  0.05 | samples=  2,502,400 | speed= 1,440 sps | loss=0.076822 | lr=6.43e-04
2026-07-05 00:27:44 | sweep_noise_prob0.1 | epoch=  0.05 | samples=  2,602,496 | speed= 1,431 sps | loss=0.075738 | lr=6.69e-04
2026-07-05 00:28:54 | sweep_noise_prob0.1 | epoch=  0.05 | samples=  2,702,592 | speed= 1,430 sps | loss=0.074733 | lr=7.10e-04
2026-07-05 00:30:04 | sweep_noise_prob0.1 | epoch=  0.06 | samples=  2,802,688 | speed= 1,429 sps | loss=0.073885 | lr=7.46e-04
