2026-07-04 11:41:32 | sweep_n5 | epoch=  0.00 | samples=    100,096 | speed=     0 sps | loss=0.393225 | lr=2.80e-05
2026-07-04 11:42:40 | sweep_n5 | epoch=  0.00 | samples=    200,192 | speed= 1,472 sps | loss=0.164967 | lr=4.60e-05
2026-07-04 11:43:50 | sweep_n5 | epoch=  0.01 | samples=    300,288 | speed= 1,426 sps | loss=0.143093 | lr=6.40e-05
2026-07-04 11:44:58 | sweep_n5 | epoch=  0.01 | samples=    400,384 | speed= 1,470 sps | loss=0.135714 | lr=8.21e-05
2026-07-04 11:46:06 | sweep_n5 | epoch=  0.01 | samples=    500,480 | speed= 1,468 sps | loss=0.131839 | lr=1.02e-04
2026-07-04 11:47:15 | sweep_n5 | epoch=  0.01 | samples=    600,576 | speed= 1,459 sps | loss=0.128278 | lr=1.21e-04
2026-07-04 11:48:24 | sweep_n5 | epoch=  0.01 | samples=    700,672 | speed= 1,454 sps | loss=0.123374 | lr=1.46e-04
2026-07-04 11:50:02 | sweep_n5 | epoch=  0.02 | samples=    800,768 | speed= 1,021 sps | loss=0.117684 | lr=1.83e-04
2026-07-04 11:51:09 | sweep_n5 | epoch=  0.02 | samples=    900,864 | speed= 1,481 sps | loss=0.112933 | lr=2.11e-04
2026-07-04 11:52:17 | sweep_n5 | epoch=  0.02 | samples=  1,000,960 | speed= 1,476 sps | loss=0.108741 | lr=2.42e-04
2026-07-04 11:53:25 | sweep_n5 | epoch=  0.02 | samples=  1,101,056 | speed= 1,471 sps | loss=0.104776 | lr=2.65e-04
2026-07-04 11:54:33 | sweep_n5 | epoch=  0.02 | samples=  1,201,152 | speed= 1,470 sps | loss=0.100920 | lr=3.14e-04
2026-07-04 11:55:43 | sweep_n5 | epoch=  0.03 | samples=  1,301,248 | speed= 1,431 sps | loss=0.097776 | lr=3.40e-04
2026-07-04 11:56:51 | sweep_n5 | epoch=  0.03 | samples=  1,401,344 | speed= 1,469 sps | loss=0.095485 | lr=3.65e-04
2026-07-04 11:58:29 | sweep_n5 | epoch=  0.03 | samples=  1,501,440 | speed= 1,030 sps | loss=0.093751 | lr=3.91e-04
2026-07-04 11:59:36 | sweep_n5 | epoch=  0.03 | samples=  1,601,536 | speed= 1,482 sps | loss=0.092432 | lr=4.15e-04
2026-07-04 12:00:44 | sweep_n5 | epoch=  0.03 | samples=  1,701,632 | speed= 1,476 sps | loss=0.091367 | lr=4.40e-04
2026-07-04 12:01:52 | sweep_n5 | epoch=  0.04 | samples=  1,801,728 | speed= 1,472 sps | loss=0.090346 | lr=4.77e-04
2026-07-04 12:03:00 | sweep_n5 | epoch=  0.04 | samples=  1,901,824 | speed= 1,471 sps | loss=0.089519 | lr=5.01e-04
2026-07-04 12:04:10 | sweep_n5 | epoch=  0.04 | samples=  2,001,920 | speed= 1,420 sps | loss=0.088651 | lr=5.22e-04
2026-07-04 12:05:18 | sweep_n5 | epoch=  0.04 | samples=  2,102,016 | speed= 1,472 sps | loss=0.087761 | lr=5.37e-04
2026-07-04 12:06:27 | sweep_n5 | epoch=  0.04 | samples=  2,202,112 | speed= 1,469 sps | loss=0.086810 | lr=5.59e-04
2026-07-04 12:07:35 | sweep_n5 | epoch=  0.05 | samples=  2,302,208 | speed= 1,468 sps | loss=0.085983 | lr=5.82e-04
2026-07-04 12:08:43 | sweep_n5 | epoch=  0.05 | samples=  2,402,304 | speed= 1,469 sps | loss=0.085089 | lr=6.18e-04
2026-07-04 12:09:51 | sweep_n5 | epoch=  0.05 | samples=  2,502,400 | speed= 1,470 sps | loss=0.084288 | lr=6.36e-04
2026-07-04 12:10:59 | sweep_n5 | epoch=  0.05 | samples=  2,602,496 | speed= 1,466 sps | loss=0.083384 | lr=6.62e-04
2026-07-04 12:12:08 | sweep_n5 | epoch=  0.05 | samples=  2,702,592 | speed= 1,467 sps | loss=0.082517 | lr=6.89e-04
2026-07-04 12:13:16 | sweep_n5 | epoch=  0.06 | samples=  2,802,688 | speed= 1,467 sps | loss=0.081574 | lr=7.10e-04
2026-07-04 12:14:24 | sweep_n5 | epoch=  0.06 | samples=  2,902,784 | speed= 1,469 sps | loss=0.080604 | lr=7.39e-04
2026-07-04 12:15:34 | sweep_n5 | epoch=  0.06 | samples=  3,002,880 | speed= 1,428 sps | loss=0.079691 | lr=7.61e-04
2026-07-04 12:16:42 | sweep_n5 | epoch=  0.06 | samples=  3,102,976 | speed= 1,470 sps | loss=0.078828 | lr=8.00e-04
2026-07-04 12:17:50 | sweep_n5 | epoch=  0.06 | samples=  3,203,072 | speed= 1,470 sps | loss=0.077907 | lr=8.24e-04
2026-07-04 12:18:58 | sweep_n5 | epoch=  0.07 | samples=  3,303,168 | speed= 1,470 sps | loss=0.077037 | lr=8.84e-04
2026-07-04 12:20:06 | sweep_n5 | epoch=  0.07 | samples=  3,403,264 | speed= 1,470 sps | loss=0.076041 | lr=9.11e-04
2026-07-04 12:21:14 | sweep_n5 | epoch=  0.07 | samples=  3,503,360 | speed= 1,470 sps | loss=0.074931 | lr=9.48e-04
2026-07-04 12:22:23 | sweep_n5 | epoch=  0.07 | samples=  3,603,456 | speed= 1,471 sps | loss=0.073933 | lr=9.86e-04
2026-07-04 12:23:33 | sweep_n5 | epoch=  0.07 | samples=  3,703,552 | speed= 1,419 sps | loss=0.072820 | lr=1.03e-03
2026-07-04 12:24:41 | sweep_n5 | epoch=  0.08 | samples=  3,803,648 | speed= 1,473 sps | loss=0.071673 | lr=1.08e-03
2026-07-04 12:25:49 | sweep_n5 | epoch=  0.08 | samples=  3,903,744 | speed= 1,471 sps | loss=0.070791 | lr=1.11e-03
2026-07-04 12:26:49 | sweep_n5 | epoch=  0.08 | samples=  4,000,000 | speed= 1,595 sps | loss=0.069785 | lr=1.17e-03
