2026-07-04 14:07:14 | sweep_n4 | epoch=  0.00 | samples=    100,096 | speed=     0 sps | loss=0.254165 | lr=2.80e-05
2026-07-04 14:08:53 | sweep_n4 | epoch=  0.00 | samples=    200,192 | speed= 1,014 sps | loss=0.140813 | lr=4.60e-05
2026-07-04 14:10:02 | sweep_n4 | epoch=  0.01 | samples=    300,288 | speed= 1,454 sps | loss=0.132792 | lr=6.40e-05
2026-07-04 14:11:11 | sweep_n4 | epoch=  0.01 | samples=    400,384 | speed= 1,447 sps | loss=0.128264 | lr=8.21e-05
2026-07-04 14:12:20 | sweep_n4 | epoch=  0.01 | samples=    500,480 | speed= 1,445 sps | loss=0.122745 | lr=1.01e-04
2026-07-04 14:13:30 | sweep_n4 | epoch=  0.01 | samples=    600,576 | speed= 1,441 sps | loss=0.116605 | lr=1.26e-04
2026-07-04 14:14:41 | sweep_n4 | epoch=  0.01 | samples=    700,672 | speed= 1,400 sps | loss=0.111635 | lr=1.46e-04
2026-07-04 14:15:51 | sweep_n4 | epoch=  0.02 | samples=    800,768 | speed= 1,442 sps | loss=0.107433 | lr=1.68e-04
2026-07-04 14:17:00 | sweep_n4 | epoch=  0.02 | samples=    900,864 | speed= 1,440 sps | loss=0.103536 | lr=2.05e-04
2026-07-04 14:18:10 | sweep_n4 | epoch=  0.02 | samples=  1,000,960 | speed= 1,439 sps | loss=0.099929 | lr=2.38e-04
2026-07-04 14:19:19 | sweep_n4 | epoch=  0.02 | samples=  1,101,056 | speed= 1,444 sps | loss=0.096662 | lr=2.55e-04
2026-07-04 14:20:29 | sweep_n4 | epoch=  0.02 | samples=  1,201,152 | speed= 1,437 sps | loss=0.093803 | lr=2.79e-04
2026-07-04 14:21:38 | sweep_n4 | epoch=  0.03 | samples=  1,301,248 | speed= 1,438 sps | loss=0.091403 | lr=2.96e-04
2026-07-04 14:22:51 | sweep_n4 | epoch=  0.03 | samples=  1,401,344 | speed= 1,387 sps | loss=0.089141 | lr=3.11e-04
2026-07-04 14:24:00 | sweep_n4 | epoch=  0.03 | samples=  1,501,440 | speed= 1,442 sps | loss=0.087437 | lr=3.43e-04
2026-07-04 14:25:10 | sweep_n4 | epoch=  0.03 | samples=  1,601,536 | speed= 1,435 sps | loss=0.086072 | lr=3.57e-04
2026-07-04 14:26:19 | sweep_n4 | epoch=  0.03 | samples=  1,701,632 | speed= 1,441 sps | loss=0.084713 | lr=3.87e-04
2026-07-04 14:27:29 | sweep_n4 | epoch=  0.04 | samples=  1,801,728 | speed= 1,435 sps | loss=0.083451 | lr=4.15e-04
2026-07-04 14:29:08 | sweep_n4 | epoch=  0.04 | samples=  1,901,824 | speed= 1,010 sps | loss=0.082170 | lr=4.32e-04
2026-07-04 14:30:17 | sweep_n4 | epoch=  0.04 | samples=  2,001,920 | speed= 1,445 sps | loss=0.080864 | lr=4.58e-04
2026-07-04 14:31:27 | sweep_n4 | epoch=  0.04 | samples=  2,102,016 | speed= 1,440 sps | loss=0.079405 | lr=4.82e-04
2026-07-04 14:32:36 | sweep_n4 | epoch=  0.04 | samples=  2,202,112 | speed= 1,439 sps | loss=0.078184 | lr=5.27e-04
2026-07-04 14:33:46 | sweep_n4 | epoch=  0.05 | samples=  2,302,208 | speed= 1,438 sps | loss=0.076913 | lr=5.48e-04
2026-07-04 14:34:58 | sweep_n4 | epoch=  0.05 | samples=  2,402,304 | speed= 1,394 sps | loss=0.075481 | lr=5.82e-04
2026-07-04 14:36:08 | sweep_n4 | epoch=  0.05 | samples=  2,502,400 | speed= 1,436 sps | loss=0.074295 | lr=6.18e-04
2026-07-04 14:37:17 | sweep_n4 | epoch=  0.05 | samples=  2,602,496 | speed= 1,437 sps | loss=0.073004 | lr=6.49e-04
2026-07-04 14:38:27 | sweep_n4 | epoch=  0.05 | samples=  2,702,592 | speed= 1,436 sps | loss=0.071719 | lr=6.82e-04
2026-07-04 14:39:36 | sweep_n4 | epoch=  0.06 | samples=  2,802,688 | speed= 1,439 sps | loss=0.070575 | lr=7.10e-04
2026-07-04 14:40:46 | sweep_n4 | epoch=  0.06 | samples=  2,902,784 | speed= 1,438 sps | loss=0.069395 | lr=7.46e-04
2026-07-04 14:41:56 | sweep_n4 | epoch=  0.06 | samples=  3,002,880 | speed= 1,438 sps | loss=0.068140 | lr=7.69e-04
2026-07-04 14:43:05 | sweep_n4 | epoch=  0.06 | samples=  3,102,976 | speed= 1,440 sps | loss=0.067040 | lr=8.00e-04
2026-07-04 14:44:15 | sweep_n4 | epoch=  0.06 | samples=  3,203,072 | speed= 1,433 sps | loss=0.065952 | lr=8.24e-04
2026-07-04 14:45:25 | sweep_n4 | epoch=  0.07 | samples=  3,303,168 | speed= 1,435 sps | loss=0.064783 | lr=8.75e-04
2026-07-04 14:46:36 | sweep_n4 | epoch=  0.07 | samples=  3,403,264 | speed= 1,400 sps | loss=0.064124 | lr=9.02e-04
2026-07-04 14:47:46 | sweep_n4 | epoch=  0.07 | samples=  3,503,360 | speed= 1,434 sps | loss=0.063354 | lr=9.48e-04
2026-07-04 14:48:56 | sweep_n4 | epoch=  0.07 | samples=  3,603,456 | speed= 1,432 sps | loss=0.062493 | lr=9.67e-04
2026-07-04 14:50:06 | sweep_n4 | epoch=  0.07 | samples=  3,703,552 | speed= 1,434 sps | loss=0.061749 | lr=9.96e-04
2026-07-04 14:51:16 | sweep_n4 | epoch=  0.08 | samples=  3,803,648 | speed= 1,434 sps | loss=0.060994 | lr=1.04e-03
2026-07-04 14:52:25 | sweep_n4 | epoch=  0.08 | samples=  3,903,744 | speed= 1,432 sps | loss=0.060345 | lr=1.07e-03
2026-07-04 14:53:27 | sweep_n4 | epoch=  0.08 | samples=  4,000,000 | speed= 1,557 sps | loss=0.059680 | lr=1.09e-03
