2026-07-04 17:00:33 | sweep_trapezoid_alpha0.1 | epoch=  0.00 | samples=    100,096 | speed=     0 sps | loss=0.247756 | lr=2.80e-05
2026-07-04 17:01:43 | sweep_trapezoid_alpha0.1 | epoch=  0.00 | samples=    200,192 | speed= 1,425 sps | loss=0.140409 | lr=4.60e-05
2026-07-04 17:02:53 | sweep_trapezoid_alpha0.1 | epoch=  0.01 | samples=    300,288 | speed= 1,428 sps | loss=0.132490 | lr=6.40e-05
2026-07-04 17:04:05 | sweep_trapezoid_alpha0.1 | epoch=  0.01 | samples=    400,384 | speed= 1,390 sps | loss=0.127875 | lr=8.21e-05
2026-07-04 17:05:15 | sweep_trapezoid_alpha0.1 | epoch=  0.01 | samples=    500,480 | speed= 1,429 sps | loss=0.122340 | lr=1.02e-04
2026-07-04 17:06:25 | sweep_trapezoid_alpha0.1 | epoch=  0.01 | samples=    600,576 | speed= 1,432 sps | loss=0.116126 | lr=1.22e-04
2026-07-04 17:07:35 | sweep_trapezoid_alpha0.1 | epoch=  0.01 | samples=    700,672 | speed= 1,426 sps | loss=0.111261 | lr=1.49e-04
2026-07-04 17:08:46 | sweep_trapezoid_alpha0.1 | epoch=  0.02 | samples=    800,768 | speed= 1,424 sps | loss=0.107066 | lr=1.66e-04
2026-07-04 17:10:25 | sweep_trapezoid_alpha0.1 | epoch=  0.02 | samples=    900,864 | speed= 1,006 sps | loss=0.102686 | lr=1.83e-04
2026-07-04 17:11:35 | sweep_trapezoid_alpha0.1 | epoch=  0.02 | samples=  1,000,960 | speed= 1,439 sps | loss=0.098799 | lr=2.03e-04
2026-07-04 17:12:47 | sweep_trapezoid_alpha0.1 | epoch=  0.02 | samples=  1,101,056 | speed= 1,383 sps | loss=0.095757 | lr=2.24e-04
2026-07-04 17:13:57 | sweep_trapezoid_alpha0.1 | epoch=  0.02 | samples=  1,201,152 | speed= 1,430 sps | loss=0.093408 | lr=2.45e-04
2026-07-04 17:15:07 | sweep_trapezoid_alpha0.1 | epoch=  0.03 | samples=  1,301,248 | speed= 1,430 sps | loss=0.091276 | lr=2.68e-04
2026-07-04 17:16:17 | sweep_trapezoid_alpha0.1 | epoch=  0.03 | samples=  1,401,344 | speed= 1,428 sps | loss=0.089425 | lr=2.84e-04
2026-07-04 17:17:27 | sweep_trapezoid_alpha0.1 | epoch=  0.03 | samples=  1,501,440 | speed= 1,429 sps | loss=0.087665 | lr=3.05e-04
2026-07-04 17:19:07 | sweep_trapezoid_alpha0.1 | epoch=  0.03 | samples=  1,601,536 | speed= 1,008 sps | loss=0.086242 | lr=3.17e-04
2026-07-04 17:20:16 | sweep_trapezoid_alpha0.1 | epoch=  0.03 | samples=  1,701,632 | speed= 1,440 sps | loss=0.084755 | lr=3.30e-04
2026-07-04 17:21:26 | sweep_trapezoid_alpha0.1 | epoch=  0.04 | samples=  1,801,728 | speed= 1,432 sps | loss=0.083410 | lr=3.50e-04
2026-07-04 17:22:36 | sweep_trapezoid_alpha0.1 | epoch=  0.04 | samples=  1,901,824 | speed= 1,430 sps | loss=0.082119 | lr=3.65e-04
2026-07-04 17:23:46 | sweep_trapezoid_alpha0.1 | epoch=  0.04 | samples=  2,001,920 | speed= 1,429 sps | loss=0.080844 | lr=3.83e-04
2026-07-04 17:24:58 | sweep_trapezoid_alpha0.1 | epoch=  0.04 | samples=  2,102,016 | speed= 1,387 sps | loss=0.079702 | lr=4.11e-04
2026-07-04 17:26:08 | sweep_trapezoid_alpha0.1 | epoch=  0.04 | samples=  2,202,112 | speed= 1,428 sps | loss=0.078539 | lr=4.27e-04
2026-07-04 17:27:48 | sweep_trapezoid_alpha0.1 | epoch=  0.05 | samples=  2,302,208 | speed= 1,008 sps | loss=0.077147 | lr=4.58e-04
2026-07-04 17:28:57 | sweep_trapezoid_alpha0.1 | epoch=  0.05 | samples=  2,402,304 | speed= 1,437 sps | loss=0.075749 | lr=4.77e-04
2026-07-04 17:30:07 | sweep_trapezoid_alpha0.1 | epoch=  0.05 | samples=  2,502,400 | speed= 1,430 sps | loss=0.074505 | lr=5.11e-04
2026-07-04 17:31:18 | sweep_trapezoid_alpha0.1 | epoch=  0.05 | samples=  2,602,496 | speed= 1,427 sps | loss=0.073213 | lr=5.27e-04
2026-07-04 17:32:28 | sweep_trapezoid_alpha0.1 | epoch=  0.05 | samples=  2,702,592 | speed= 1,426 sps | loss=0.071947 | lr=5.48e-04
2026-07-04 17:33:38 | sweep_trapezoid_alpha0.1 | epoch=  0.06 | samples=  2,802,688 | speed= 1,427 sps | loss=0.070857 | lr=5.94e-04
2026-07-04 17:34:48 | sweep_trapezoid_alpha0.1 | epoch=  0.06 | samples=  2,902,784 | speed= 1,424 sps | loss=0.069815 | lr=6.06e-04
2026-07-04 17:35:58 | sweep_trapezoid_alpha0.1 | epoch=  0.06 | samples=  3,002,880 | speed= 1,426 sps | loss=0.068616 | lr=6.36e-04
2026-07-04 17:37:45 | sweep_trapezoid_alpha0.1 | epoch=  0.06 | samples=  3,102,976 | speed=   934 sps | loss=0.067601 | lr=6.69e-04
2026-07-04 17:38:55 | sweep_trapezoid_alpha0.1 | epoch=  0.06 | samples=  3,203,072 | speed= 1,437 sps | loss=0.066468 | lr=6.89e-04
2026-07-04 17:40:05 | sweep_trapezoid_alpha0.1 | epoch=  0.07 | samples=  3,303,168 | speed= 1,429 sps | loss=0.065558 | lr=7.17e-04
2026-07-04 17:41:16 | sweep_trapezoid_alpha0.1 | epoch=  0.07 | samples=  3,403,264 | speed= 1,414 sps | loss=0.064575 | lr=7.54e-04
2026-07-04 17:42:26 | sweep_trapezoid_alpha0.1 | epoch=  0.07 | samples=  3,503,360 | speed= 1,430 sps | loss=0.063748 | lr=7.92e-04
2026-07-04 17:43:36 | sweep_trapezoid_alpha0.1 | epoch=  0.07 | samples=  3,603,456 | speed= 1,425 sps | loss=0.063067 | lr=8.24e-04
2026-07-04 17:44:46 | sweep_trapezoid_alpha0.1 | epoch=  0.07 | samples=  3,703,552 | speed= 1,427 sps | loss=0.062405 | lr=8.58e-04
2026-07-04 17:45:59 | sweep_trapezoid_alpha0.1 | epoch=  0.08 | samples=  3,803,648 | speed= 1,385 sps | loss=0.061595 | lr=8.66e-04
2026-07-04 17:47:09 | sweep_trapezoid_alpha0.1 | epoch=  0.08 | samples=  3,903,744 | speed= 1,424 sps | loss=0.060674 | lr=9.11e-04
2026-07-04 17:48:11 | sweep_trapezoid_alpha0.1 | epoch=  0.08 | samples=  4,000,000 | speed= 1,546 sps | loss=0.060329 | lr=9.38e-04
