epoch,total_samples,speed_sps,train_loss,val_loss,lr
0.002,100096,0.0,0.24432597486564264,,2.7981557377049184e-05
0.004,200192,1429.8,0.1402773485921533,,4.600922131147541e-05
0.006,300288,1428.2,0.13251771825506253,,6.403688524590163e-05
0.008,400384,1427.6,0.12780564693767396,,8.206454918032786e-05
0.01,500480,1423.2,0.12235250400231622,,0.000101
0.012,600576,1425.3,0.1161392943747818,,0.00012447158597509212
0.014,700672,1424.5,0.11131398579882235,,0.00015037523709241033
0.016,800768,1006.4,0.10710016291236024,,0.00017285245734721926
0.018,900864,1439.5,0.10309571054433007,,0.00021091284683560782
0.02,1000960,1432.7,0.09972847533195525,,0.0002522828693323005
0.022,1101056,1429.6,0.09660090178327488,,0.0002871214383555207
0.024,1201152,1426.8,0.09397291561679157,,0.00033003868945736674
0.026,1301248,1404.9,0.09151272511924319,,0.00035034271933694067
0.028,1401344,1427.8,0.08930153146271816,,0.0003756148147544383
0.03,1501440,1381.0,0.08744342796637884,,0.0003987226947260981
0.032,1601536,1426.7,0.08602683558640882,,0.00044484228960300573
0.034,1701632,908.1,0.08453664023553015,,0.0004583214558202664
0.036,1801728,1440.0,0.08296970624829192,,0.0004865174608059987
0.038,1901824,1431.1,0.0815066191203454,,0.0005216125691474479
0.04,2001920,1428.6,0.08018122100845322,,0.0005537022529567734
0.042,2102016,1426.8,0.0786955074390487,,0.0005995801975356175
0.044,2202112,1429.2,0.07731875127462474,,0.00064283112620124
0.046,2302208,1427.6,0.07593861559544073,,0.0006756219741546047
0.048,2402304,1427.6,0.07458390998642159,,0.000710085484904892
0.05,2502400,1388.2,0.07326962530155622,,0.0007537700508758251
0.052,2602496,1431.1,0.07214334483265572,,0.0007922198989348806
0.054,2702592,1428.1,0.07095598791490125,,0.0008326310756697658
0.056,2802688,1426.8,0.06986492319637552,,0.0008751036285544974
0.058,2902784,1425.7,0.06867613584336722,,0.0009016201436033273
0.06,3002880,1425.9,0.06749642722289581,,0.0009289401355746517
0.062,3102976,1425.7,0.06643247684401929,,0.0009959495593406629
0.064,3203072,1377.8,0.06559696734485114,,0.001036389105207627
0.066,3303168,1427.3,0.0646284208883105,,0.0010467529962597034
0.068,3403264,1428.2,0.06373810480394022,,0.0011334835011361046
0.07,3503360,1549.4,0.06580908999532994,,0.0011448183361474657
0.072,3603456,1422.8,0.0620033544728823,,0.0009205501574430185
0.074,3703552,1427.6,0.05986033085628849,,0.0009579281852413364
0.076,3803648,1548.1,0.05904051080307997,,0.000986954367182334
0.078,3903744,1420.9,0.05900950363034482,,0.0009968239108541573
0.0799,4000000,1538.3,0.05785918086172735,,0.0010168600714623257
