2026-07-04 19:28:59 | sweep_trapezoid_alpha0.1 | epoch=  0.00 | samples=    100,096 | speed=     0 sps | loss=0.276529 | lr=2.80e-05
2026-07-04 19:30:10 | sweep_trapezoid_alpha0.1 | epoch=  0.00 | samples=    200,192 | speed= 1,425 sps | loss=0.145535 | lr=4.60e-05
2026-07-04 19:31:20 | sweep_trapezoid_alpha0.1 | epoch=  0.01 | samples=    300,288 | speed= 1,423 sps | loss=0.136603 | lr=6.40e-05
2026-07-04 19:32:30 | sweep_trapezoid_alpha0.1 | epoch=  0.01 | samples=    400,384 | speed= 1,420 sps | loss=0.133464 | lr=8.21e-05
2026-07-04 19:33:43 | sweep_trapezoid_alpha0.1 | epoch=  0.01 | samples=    500,480 | speed= 1,386 sps | loss=0.130411 | lr=1.02e-04
2026-07-04 19:34:53 | sweep_trapezoid_alpha0.1 | epoch=  0.01 | samples=    600,576 | speed= 1,415 sps | loss=0.126062 | lr=1.17e-04
2026-07-04 19:36:40 | sweep_trapezoid_alpha0.1 | epoch=  0.01 | samples=    700,672 | speed=   943 sps | loss=0.120836 | lr=1.36e-04
2026-07-04 19:37:50 | sweep_trapezoid_alpha0.1 | epoch=  0.02 | samples=    800,768 | speed= 1,427 sps | loss=0.116140 | lr=1.50e-04
2026-07-04 19:39:00 | sweep_trapezoid_alpha0.1 | epoch=  0.02 | samples=    900,864 | speed= 1,420 sps | loss=0.111816 | lr=1.78e-04
2026-07-04 19:40:11 | sweep_trapezoid_alpha0.1 | epoch=  0.02 | samples=  1,000,960 | speed= 1,416 sps | loss=0.108065 | lr=2.09e-04
2026-07-04 19:41:22 | sweep_trapezoid_alpha0.1 | epoch=  0.02 | samples=  1,101,056 | speed= 1,418 sps | loss=0.104252 | lr=2.31e-04
2026-07-04 19:42:35 | sweep_trapezoid_alpha0.1 | epoch=  0.02 | samples=  1,201,152 | speed= 1,371 sps | loss=0.100476 | lr=2.57e-04
2026-07-04 19:43:45 | sweep_trapezoid_alpha0.1 | epoch=  0.03 | samples=  1,301,248 | speed= 1,412 sps | loss=0.097559 | lr=2.96e-04
2026-07-04 19:44:56 | sweep_trapezoid_alpha0.1 | epoch=  0.03 | samples=  1,401,344 | speed= 1,414 sps | loss=0.095109 | lr=3.17e-04
2026-07-04 19:46:07 | sweep_trapezoid_alpha0.1 | epoch=  0.03 | samples=  1,501,440 | speed= 1,410 sps | loss=0.092744 | lr=3.47e-04
2026-07-04 19:47:18 | sweep_trapezoid_alpha0.1 | epoch=  0.03 | samples=  1,601,536 | speed= 1,415 sps | loss=0.090791 | lr=3.72e-04
2026-07-04 19:48:29 | sweep_trapezoid_alpha0.1 | epoch=  0.03 | samples=  1,701,632 | speed= 1,412 sps | loss=0.089078 | lr=3.91e-04
2026-07-04 19:49:40 | sweep_trapezoid_alpha0.1 | epoch=  0.04 | samples=  1,801,728 | speed= 1,412 sps | loss=0.087609 | lr=4.36e-04
2026-07-04 19:50:51 | sweep_trapezoid_alpha0.1 | epoch=  0.04 | samples=  1,901,824 | speed= 1,414 sps | loss=0.086311 | lr=4.58e-04
2026-07-04 19:52:01 | sweep_trapezoid_alpha0.1 | epoch=  0.04 | samples=  2,001,920 | speed= 1,416 sps | loss=0.084948 | lr=4.82e-04
2026-07-04 19:53:12 | sweep_trapezoid_alpha0.1 | epoch=  0.04 | samples=  2,102,016 | speed= 1,411 sps | loss=0.083585 | lr=5.01e-04
2026-07-04 19:54:25 | sweep_trapezoid_alpha0.1 | epoch=  0.04 | samples=  2,202,112 | speed= 1,378 sps | loss=0.082375 | lr=5.27e-04
2026-07-04 19:55:36 | sweep_trapezoid_alpha0.1 | epoch=  0.05 | samples=  2,302,208 | speed= 1,413 sps | loss=0.081128 | lr=5.70e-04
2026-07-04 19:57:16 | sweep_trapezoid_alpha0.1 | epoch=  0.05 | samples=  2,402,304 | speed=   994 sps | loss=0.079922 | lr=6.00e-04
2026-07-04 19:58:26 | sweep_trapezoid_alpha0.1 | epoch=  0.05 | samples=  2,502,400 | speed= 1,426 sps | loss=0.078623 | lr=6.18e-04
2026-07-04 19:59:37 | sweep_trapezoid_alpha0.1 | epoch=  0.05 | samples=  2,602,496 | speed= 1,418 sps | loss=0.077457 | lr=6.62e-04
2026-07-04 20:00:48 | sweep_trapezoid_alpha0.1 | epoch=  0.05 | samples=  2,702,592 | speed= 1,417 sps | loss=0.076486 | lr=6.96e-04
2026-07-04 20:01:59 | sweep_trapezoid_alpha0.1 | epoch=  0.06 | samples=  2,802,688 | speed= 1,412 sps | loss=0.075531 | lr=7.24e-04
2026-07-04 20:03:04 | sweep_trapezoid_alpha0.1 | epoch=  0.06 | samples=  2,902,784 | speed= 1,536 sps | loss=0.074572 | lr=7.54e-04
2026-07-04 20:04:17 | sweep_trapezoid_alpha0.1 | epoch=  0.06 | samples=  3,002,880 | speed= 1,366 sps | loss=0.073563 | lr=7.77e-04
2026-07-04 20:05:28 | sweep_trapezoid_alpha0.1 | epoch=  0.06 | samples=  3,102,976 | speed= 1,414 sps | loss=0.072598 | lr=8.00e-04
2026-07-04 20:06:39 | sweep_trapezoid_alpha0.1 | epoch=  0.06 | samples=  3,203,072 | speed= 1,413 sps | loss=0.072012 | lr=8.41e-04
2026-07-04 20:07:50 | sweep_trapezoid_alpha0.1 | epoch=  0.07 | samples=  3,303,168 | speed= 1,412 sps | loss=0.071176 | lr=8.66e-04
2026-07-04 20:09:00 | sweep_trapezoid_alpha0.1 | epoch=  0.07 | samples=  3,403,264 | speed= 1,416 sps | loss=0.070452 | lr=9.11e-04
2026-07-04 20:10:40 | sweep_trapezoid_alpha0.1 | epoch=  0.07 | samples=  3,503,360 | speed=   999 sps | loss=0.069827 | lr=9.38e-04
